ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20251114,56.9,57.44,56.66,56.66,57.06,-0.4,-0.701,83634.81,476866.549
000538.SZ,20251117,56.66,56.8,56.15,56.34,56.66,-0.32,-0.5648,79900.81,450276.967
000538.SZ,20251118,56.25,56.7,56.25,56.39,56.34,0.05,0.0887,59230.39,334172.205
000538.SZ,20251119,56.43,56.64,56.25,56.4,56.39,0.01,0.0177,56061.16,316426.432
000538.SZ,20251120,56.36,56.62,56.01,56.04,56.4,-0.36,-0.6383,76523.73,431129.994
000538.SZ,20251121,55.9,56.15,55.4,55.66,56.04,-0.38,-0.6781,105868.97,590498.529
000538.SZ,20251124,55.71,55.87,55.62,55.65,55.66,-0.01,-0.018,65033.06,362490.662
000538.SZ,20251125,55.77,55.94,55.58,55.84,55.65,0.19,0.3414,55424.9,309053.463
000538.SZ,20251126,55.88,56.15,55.88,55.98,55.84,0.14,0.2507,57181.5,320507.226
000538.SZ,20251127,56.16,56.21,56.0,56.07,55.98,0.09,0.1608,42924.51,240748.2
000538.SZ,20251128,56.08,56.15,56.0,56.06,56.07,-0.01,-0.0178,42968.44,240955.749
000538.SZ,20251201,56.06,56.06,55.4,55.58,56.06,-0.48,-0.8562,163943.39,911078.235
000538.SZ,20251202,55.58,55.75,55.31,55.38,55.58,-0.2,-0.3598,86893.0,482644.645
000538.SZ,20251203,55.38,55.81,55.37,55.71,55.38,0.33,0.5959,66666.72,370660.474
000538.SZ,20251204,55.75,55.89,55.62,55.73,55.71,0.02,0.0359,46608.7,259927.573
000538.SZ,20251205,55.73,55.95,55.63,55.93,55.73,0.2,0.3589,47248.37,263656.14
000538.SZ,20251208,55.93,56.17,55.9,56.1,55.93,0.17,0.304,54923.5,307913.473
000538.SZ,20251209,56.1,56.15,55.6,55.61,56.1,-0.49,-0.8734,53239.3,296844.491
000538.SZ,20251210,55.61,55.75,55.4,55.73,55.61,0.12,0.2158,48569.03,269782.72
000538.SZ,20251211,55.65,56.07,55.61,55.8,55.73,0.07,0.1256,53554.64,299206.887
000538.SZ,20251212,55.85,55.88,55.64,55.83,55.8,0.03,0.0538,55186.32,307728.185
000538.SZ,20251215,55.8,55.97,55.63,55.86,55.83,0.03,0.0537,44541.91,248744.902
000538.SZ,20251216,55.83,55.94,55.61,55.89,55.86,0.03,0.0537,52469.74,292735.097
000538.SZ,20251217,55.89,56.21,55.68,56.2,55.89,0.31,0.5547,65459.26,366821.521
000538.SZ,20251218,56.15,56.8,56.09,56.65,56.2,0.45,0.8007,71649.42,405221.955
000538.SZ,20251219,56.7,56.75,56.48,56.53,56.65,-0.12,-0.2118,49450.95,279799.589
000538.SZ,20251222,56.53,56.84,56.42,56.55,56.53,0.02,0.0354,65815.68,372564.371
000538.SZ,20251223,56.57,56.68,56.18,56.19,56.55,-0.36,-0.6366,66783.03,376433.547
000538.SZ,20251224,56.2,56.66,56.11,56.5,56.19,0.31,0.5517,59189.77,334196.892
000538.SZ,20251225,56.5,56.78,56.5,56.76,56.5,0.26,0.4602,45600.86,258594.968
000538.SZ,20251226,56.76,56.88,56.55,56.7,56.76,-0.06,-0.1057,49912.39,283068.987
000538.SZ,20251229,56.68,56.85,56.57,56.69,56.7,-0.01,-0.0176,61051.52,346318.574
000538.SZ,20251230,56.69,56.98,56.59,56.94,56.69,0.25,0.441,57730.67,328169.457
000538.SZ,20251231,56.95,57.05,56.66,56.76,56.94,-0.18,-0.3161,45359.89,257861.734
000538.SZ,20260105,56.76,57.34,56.42,57.32,56.76,0.56,0.9866,112756.5,642596.515
000538.SZ,20260106,57.32,57.43,57.06,57.39,57.32,0.07,0.1221,89365.8,512273.04
000538.SZ,20260107,57.42,57.65,57.1,57.33,57.39,-0.06,-0.1045,81450.25,467514.501
000538.SZ,20260108,57.29,57.37,57.02,57.21,57.33,-0.12,-0.2093,76546.12,437641.73
000538.SZ,20260109,57.18,57.45,57.03,57.32,57.21,0.11,0.1923,70822.87,405564.393
000538.SZ,20260112,57.32,57.39,56.84,56.9,57.32,-0.42,-0.7327,114806.64,654669.434
000538.SZ,20260113,56.9,57.5,56.76,57.13,56.9,0.23,0.4042,104492.85,597778.241
000538.SZ,20260114,57.1,57.2,56.46,56.64,57.13,-0.49,-0.8577,118192.08,672179.058
000538.SZ,20260115,56.51,56.82,56.42,56.42,56.64,-0.22,-0.3884,72459.48,409993.447
000538.SZ,20260116,56.6,56.65,56.11,56.2,56.42,-0.22,-0.3899,90123.92,507397.846
000538.SZ,20260119,56.19,56.47,56.0,56.22,56.2,0.02,0.0356,79084.36,444338.249
000538.SZ,20260120,56.23,57.28,56.22,57.19,56.22,0.97,1.7254,136009.61,774667.499
000538.SZ,20260121,57.1,57.23,56.56,56.7,57.19,-0.49,-0.8568,99900.5,567916.998
000538.SZ,20260122,56.76,56.81,56.6,56.65,56.7,-0.05,-0.0882,69320.37,393094.115
000538.SZ,20260123,56.68,56.68,55.91,56.15,56.65,-0.5,-0.8826,133226.03,748755.288
000538.SZ,20260126,56.13,56.47,55.92,56.17,56.15,0.02,0.0356,109236.66,614246.408
000538.SZ,20260127,56.27,56.68,55.66,56.68,56.17,0.51,0.908,131607.13,736477.71
000538.SZ,20260128,56.0,56.0,55.57,55.62,56.68,-1.06,-1.8701,124639.25,694445.325
000538.SZ,20260129,55.56,56.33,55.0,56.1,55.62,0.48,0.863,164074.52,910796.155
000538.SZ,20260130,55.9,56.19,55.41,55.61,56.1,-0.49,-0.8734,90435.38,504812.548
000538.SZ,20260202,55.45,56.18,55.42,55.51,55.61,-0.1,-0.1798,89428.53,499183.119
000538.SZ,20260203,55.55,56.0,55.39,56.0,55.51,0.49,0.8827,69090.38,384052.015
000538.SZ,20260204,55.8,56.41,55.65,56.35,56.0,0.35,0.625,84254.3,473518.658
000538.SZ,20260205,56.45,57.36,56.32,57.13,56.35,0.78,1.3842,143499.87,818244.39
000538.SZ,20260206,58.0,58.2,56.99,57.0,57.13,-0.13,-0.2276,130479.99,748916.316
000538.SZ,20260209,56.8,57.35,56.71,57.33,57.0,0.33,0.5789,89564.18,511301.629
000538.SZ,20260210,57.33,57.47,57.01,57.25,57.33,-0.08,-0.1395,63534.38,363599.493
000538.SZ,20260211,57.25,57.45,57.1,57.21,57.25,-0.04,-0.0699,47226.87,270260.641
000538.SZ,20260212,57.11,57.15,56.39,56.74,57.21,-0.47,-0.8215,74583.88,422598.421
